"X","ID","RT_Seconds","CI","Accuracy","R","S","Stimulus_type","Age","Race_partic","Handedness","condition","S_numeric","R_numeric","CI_numeric"
156,788,1.764,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
157,788,0.961,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
158,788,1.526,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
159,788,1.854,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
160,788,1.131,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
161,788,1.179,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
162,788,0.742,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
163,788,1.08,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
164,788,1.455,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
165,788,0.814,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
166,788,1.263,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
167,788,1.229,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
168,788,1.284,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
169,788,2.47271,"congruent",0,"left","right","black_face",19,"black","right","face",0,1,0
170,788,1.179,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
171,788,1.598,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
172,788,0.8,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
173,788,0.918,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
174,788,0.747,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
175,788,1.096,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
176,788,0.787,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
177,788,2.213,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
178,788,0.631,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
179,788,1.684,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
180,788,0.892,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
181,788,1.331,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
182,788,1.15,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
183,788,1.99,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
184,788,0.605,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
185,788,0.72,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
186,788,0.875,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
187,788,1.438,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
188,788,0.892,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
189,793,1.275,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
190,793,0.727,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
191,793,0.519,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
192,793,0.554,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
193,793,0.512,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
194,793,0.697,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
195,793,0.76,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
196,793,0.516,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
197,793,0.92,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
198,793,0.549,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
199,793,0.592,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
200,793,0.541,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
201,793,0.547,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
202,793,0.446,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
203,793,0.83,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
204,793,0.592,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
205,793,0.589,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
206,793,0.565,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
207,793,0.592,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
208,793,0.606,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
209,793,0.698,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
210,793,0.557,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
211,793,0.533,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
212,793,0.592,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
213,793,0.89,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
214,793,0.952,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
215,793,0.505,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
216,793,0.557,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
217,793,0.667,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
218,793,0.479,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
219,793,0.568,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
220,793,0.53,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
221,793,0.622,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
222,793,0.508,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
223,793,0.622,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
224,793,0.611,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
225,793,0.446,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
226,793,0.533,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
227,793,0.525,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
228,793,0.535,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
229,793,0.514,"non-congruent",1,"left","left","black_face",18,"white","left","face",1,1,1
230,793,0.527,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
231,793,0.565,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
232,793,0.517,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
233,793,0.514,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
234,793,0.459,"non-congruent",1,"right","right","bad_word",18,"white","left","word",0,0,1
235,793,0.381,"non-congruent",1,"left","left","good_word",18,"white","left","word",1,1,1
236,793,0.609,"non-congruent",1,"right","right","white_face",18,"white","left","face",0,0,1
237,793,0.966,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
238,793,0.557,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
239,793,0.768,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
240,793,0.56,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
241,793,0.54,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
242,793,0.746,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
243,793,0.706,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
244,793,0.657,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
245,793,0.452,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
246,793,0.587,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
247,793,0.509,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
248,793,0.649,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
249,793,0.808,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
250,793,0.573,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
251,793,0.472,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
252,793,0.373,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
253,793,0.5,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
254,793,0.643,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
255,793,1.233,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
256,793,0.501,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
257,793,0.441,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
258,793,0.449,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
259,793,1.03198,"congruent",0,"left","right","black_face",18,"white","left","face",0,1,0
260,793,0.881,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
261,793,0.76,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
262,793,0.503,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
263,793,0.398,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
264,793,0.419,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
265,793,0.636,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
266,793,0.56,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
267,793,0.515,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
268,793,0.473,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
269,793,0.682,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
270,793,0.544,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
271,793,0.543,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
272,793,0.533,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
273,793,0.449,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
274,793,0.47,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
275,793,0.384,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
276,793,0.71552,"congruent",0,"left","right","black_face",18,"white","left","face",0,1,0
277,793,0.538,"congruent",1,"left","left","white_face",18,"white","left","face",1,1,0
278,793,0.443,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
279,793,0.436,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
280,793,0.503,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
281,793,0.57,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
282,793,0.676,"congruent",1,"right","right","bad_word",18,"white","left","word",0,0,0
283,793,0.492,"congruent",1,"right","right","black_face",18,"white","left","face",0,0,0
284,793,0.376,"congruent",1,"left","left","good_word",18,"white","left","word",1,1,0
285,798,1.832,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
286,798,0.784,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
287,798,0.662,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
288,798,0.709,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
289,798,0.885,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
290,798,0.698,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
291,798,0.817,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
292,798,0.66,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
293,798,0.898,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
294,798,0.69,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
295,798,0.777,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
296,798,1.135,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
297,798,0.742,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
298,798,0.633,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
299,798,0.616,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
300,798,0.633,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
301,798,0.766,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
302,798,0.762,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
303,798,0.54,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
304,798,0.728,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
305,798,0.746,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
306,798,0.924,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
307,798,0.793,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
308,798,1.31498,"non-congruent",0,"right","left","black_face",15,"white","right","face",1,0,1
309,798,1.011,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
310,798,0.683,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
311,798,0.959,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
312,798,0.586,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
313,798,0.843,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
314,798,0.626,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
315,798,0.674,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
316,798,0.802,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
317,798,0.561,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
318,798,0.658,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
319,798,0.663,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
320,798,1.08,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
321,798,0.628,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
322,798,1.006,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
323,798,0.816,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
324,798,0.623,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
325,798,0.578,"non-congruent",1,"left","left","black_face",15,"white","right","face",1,1,1
326,798,0.575,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
327,798,0.811,"non-congruent",1,"left","left","good_word",15,"white","right","word",1,1,1
328,798,0.643,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
329,798,0.698,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
330,798,1.28,"non-congruent",1,"right","right","white_face",15,"white","right","face",0,0,1
331,798,0.789,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
332,798,0.661,"non-congruent",1,"right","right","bad_word",15,"white","right","word",0,0,1
333,798,2.284,"congruent",1,"right","right","bad_word",15,"white","right","word",0,0,0
334,798,1.434,"congruent",1,"right","right","black_face",15,"white","right","face",0,0,0
